Poèetak;Kraj;Tip stroja;Trošak
14:30;18.5.2017. 18:15;Tlaèni SÐ-11;132
16:00;18.5.2017. 19:50;PM-Æ1;132
17:00;18.5.2017. 21:00;Stroj 33;130
18:15;18.5.2017. 22:25;aparat C290;131
19:00;18.5.2017. 22:50;Èekiæ HAMM-15;132
19:40;18.5.2017. 23:20;TŽV-9000;132
19:40;18.5.2017. 23:20;TŽV-9000;132
19:45;18.5.2017. 23:30;aparat C290;131
2:30;19.5.2017. 6:30;Stroj BŠ-1 bešumni;131
5:45;19.5.2017. 9:30;Stroj 33;130
7:30;19.5.2017. 11:45;PM-Æ1;132
10:00;19.5.2017. 13:45;Stroj 33;130
12:00;19.5.2017. 16:15;PM-Æ1;132
12:30;19.5.2017. 16:40;Stroj BŠ-1 bešumni;131
12:40;19.5.2017. 16:50;Stroj 33;130
13:30;19.5.2017. 17:10;TŽV-9000;132
13:30;19.5.2017. 17:10;TŽV-9000;132
14:15;19.5.2017. 18:00;aparat C290;131
14:30;19.5.2017. 18:15;Tlaèni SÐ-11;132
16:00;19.5.2017. 19:50;PM-Æ1;132
17:00;19.5.2017. 21:00;Stroj 33;130
17:00;19.5.2017. 21:30;aparat C290;131
18:15;19.5.2017. 22:25;aparat C290;131
19:00;19.5.2017. 22:50;Èekiæ HAMM-15;132
19:40;19.5.2017. 23:20;TŽV-9000;132
19:40;19.5.2017. 23:20;TŽV-9000;132
19:45;19.5.2017. 23:30;aparat C290;131
2:30;20.5.2017. 6:30;Stroj BŠ-1 bešumni;131
5:45;20.5.2017. 9:30;Stroj 33;130
7:30;20.5.2017. 11:45;PM-Æ1;132
10:00;20.5.2017. 13:45;Stroj 33;130
12:00;20.5.2017. 16:15;PM-Æ1;132
12:40;20.5.2017. 16:50;Stroj 33;130
14:15;20.5.2017. 18:00;aparat C290;131
14:30;20.5.2017. 18:15;Tlaèni SÐ-11;132
16:00;20.5.2017. 19:50;PM-Æ1;132
18:15;20.5.2017. 22:25;aparat C290;131
19:00;20.5.2017. 22:50;Èekiæ HAMM-15;132
19:40;20.5.2017. 23:20;TŽV-9000;132
19:40;20.5.2017. 23:20;TŽV-9000;132
7:30;21.5.2017. 11:45;PM-Æ1;132
10:00;21.5.2017. 13:45;Stroj 33;130
12:00;21.5.2017. 16:15;PM-Æ1;132
12:30;21.5.2017. 16:40;Stroj BŠ-1 bešumni;131
13:30;21.5.2017. 17:10;TŽV-9000;132
13:30;21.5.2017. 17:10;TŽV-9000;132
14:15;21.5.2017. 18:00;aparat C290;131
14:30;21.5.2017. 18:15;Tlaèni SÐ-11;132
16:00;21.5.2017. 19:50;PM-Æ1;132
17:00;21.5.2017. 21:00;Stroj 33;130
18:15;21.5.2017. 22:25;aparat C290;131
19:00;21.5.2017. 22:50;Èekiæ HAMM-15;132
19:40;21.5.2017. 23:20;TŽV-9000;132
19:45;21.5.2017. 23:30;aparat C290;131
